上海频道,#genre#
[BD]上海纪实@@11,https://epg.pw/stream/d62ba80b3275cd0260ad78a969ae19ca74ef6f44a7cae4cd46d31f1b44f47f2c.m3u8
[BD]上海紀實人文,https://epg.pw/stream/b6163053e950966f7d33e74245e743a51e4abbae0f3d136f0210b71ec3189fe2.m3u8
[HD]上海都市,https://epg.pw/stream/74365a3dd1190a8babd8fd5755a4c6df298e33e40002c499d540041cfd219261.ctv
[BD]上海都市@@1[ipv6],https://epg.pw/stream/0e304419acd18f06632242d04ca3e267a9ac00bbb7bc7252fc9775420a18ec64.m3u8
[BD]上海都市@@3[ipv6],https://epg.pw/stream/7b05aaa7c484b4b641fcbf62f41a7c885960fbd3ffe4a0d89d3411184afdde92.m3u8
[HD]上海都市@@4[ipv6],https://epg.pw/stream/554b38be509e5ee260123d7e65185da4cb94f9365c1e4c16f30cbc32a5fe7d6a.m3u8
[BD]上海都市@@5,https://epg.pw/stream/eb82b7b56ba97f60ae8984180f5458828e42081ff1e1c3c2c7d7b38ca677972b.m3u8
[BD]上海都市@@6[ipv6],https://epg.pw/stream/606b1607f357aabeef6ca082ebaf886022270da03a2b804c2bbf2f9a0bb51f9f.m3u8
[BD]上海都市@@7[ipv6],https://epg.pw/stream/7a4ccf34951b508637e863bb518499a17efef6afe5c49cbc133691b2567d29c9.m3u8
[BD]上海都市[ipv6],https://epg.pw/stream/f28f8526271afd9a153ddb7aa9f8c2cafb033292ba164a65e6ef691de603db72.m3u8
[BD]五星体育[ipv6],https://epg.pw/stream/8bcb65dddb82fc01cc617f6c5e2aa3f7d98fba152b5423fe17b4caa9bbed79b2.m3u8
[BD]五星体育@@5,https://epg.pw/stream/3cc797641112e5b2e7700c9a2264e3ede2a5a87391c5ded3e50d903458d2708f.m3u8
[BD]欢笑剧场@@3[ipv6],https://epg.pw/stream/658ca7166f908d2b2460919ae4fdeff8bda61c2c33722af951dcc63a1889f8b7.m3u8
[BD]欢笑剧场@@4,https://epg.pw/stream/3aa8e676f4d9d2c5d690881ef9ae4b278e6d9291d1b62c30df8369558ffd56af.m3u8
[BD]欢笑剧场@@5,https://epg.pw/stream/f03ccebadf691b9b295ddc0a7c6065e57ea704af181a72499caa2500828446b2.m3u8
[BD]欢笑剧场@@6[ipv6],https://epg.pw/stream/0c623ff68c4c12d46892ed3fcb853e4fd82037d77b01f30eb3f70b89f36faba2.m3u8
[BD]欢笑剧场@@7[ipv6],https://epg.pw/stream/8c09f04576aaa42921a0406324b1ebdd07eb7a5340bf3ff6245c279705c38932.m3u8
[BD]欢笑剧场[ipv6],https://epg.pw/stream/3a02ce6a973c11a2fb35387570600c06673c4af9a3399ffe97637d46fe1e643c.m3u8

